image,rois_found,axes_found,left_axes,bottom_x_axes,output
Compliant\10.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\10.png
Compliant\100.png,1,3,0,3,..\output\roi_axis_detection\batch\Compliant\100.png
Compliant\101.png,2,1,1,0,..\output\roi_axis_detection\batch\Compliant\101.png
Compliant\102.png,2,5,0,5,..\output\roi_axis_detection\batch\Compliant\102.png
Compliant\103.png,1,1,0,1,..\output\roi_axis_detection\batch\Compliant\103.png
Compliant\104.png,2,4,0,4,..\output\roi_axis_detection\batch\Compliant\104.png
Compliant\105.png,2,4,0,4,..\output\roi_axis_detection\batch\Compliant\105.png
Compliant\106.png,2,4,2,2,..\output\roi_axis_detection\batch\Compliant\106.png
Compliant\107.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\107.png
Compliant\108.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\108.png
Compliant\109.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\109.png
Compliant\11.png,1,2,1,1,..\output\roi_axis_detection\batch\Compliant\11.png
Compliant\110.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\110.png
Compliant\111.png,1,2,0,2,..\output\roi_axis_detection\batch\Compliant\111.png
Compliant\112.png,1,5,4,1,..\output\roi_axis_detection\batch\Compliant\112.png
Compliant\12.png,1,1,0,1,..\output\roi_axis_detection\batch\Compliant\12.png
Compliant\13.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\13.png
Compliant\14.png,2,3,3,0,..\output\roi_axis_detection\batch\Compliant\14.png
Compliant\15.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\15.png
Compliant\16.png,1,3,0,3,..\output\roi_axis_detection\batch\Compliant\16.png
Compliant\17.png,2,6,0,6,..\output\roi_axis_detection\batch\Compliant\17.png
Compliant\18.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\18.png
Compliant\19.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\19.png
Compliant\2.png,2,1,0,1,..\output\roi_axis_detection\batch\Compliant\2.png
Compliant\20.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\20.png
Compliant\21.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\21.png
Compliant\22.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\22.png
Compliant\23.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\23.png
Compliant\24.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\24.png
Compliant\25.png,1,3,1,2,..\output\roi_axis_detection\batch\Compliant\25.png
Compliant\26.png,1,3,1,2,..\output\roi_axis_detection\batch\Compliant\26.png
Compliant\27.png,1,3,3,0,..\output\roi_axis_detection\batch\Compliant\27.png
Compliant\28.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\28.png
Compliant\29.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\29.png
Compliant\3.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\3.png
Compliant\30.png,2,1,0,1,..\output\roi_axis_detection\batch\Compliant\30.png
Compliant\31.png,2,5,1,4,..\output\roi_axis_detection\batch\Compliant\31.png
Compliant\34.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\34.png
Compliant\35.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\35.png
Compliant\36.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\36.png
Compliant\37.png,2,5,2,3,..\output\roi_axis_detection\batch\Compliant\37.png
Compliant\38.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\38.png
Compliant\39.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\39.png
Compliant\4.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\4.png
Compliant\40.png,3,0,0,0,..\output\roi_axis_detection\batch\Compliant\40.png
Compliant\41.png,2,3,1,2,..\output\roi_axis_detection\batch\Compliant\41.png
Compliant\42.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\42.png
Compliant\44.png,2,0,0,0,..\output\roi_axis_detection\batch\Compliant\44.png
Compliant\45.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\45.png
Compliant\49.png,2,7,3,4,..\output\roi_axis_detection\batch\Compliant\49.png
Compliant\5.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\5.png
Compliant\51.png,2,0,0,0,..\output\roi_axis_detection\batch\Compliant\51.png
Compliant\52.png,2,7,3,4,..\output\roi_axis_detection\batch\Compliant\52.png
Compliant\54.png,2,1,0,1,..\output\roi_axis_detection\batch\Compliant\54.png
Compliant\55.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\55.png
Compliant\56.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\56.png
Compliant\57.png,2,5,1,4,..\output\roi_axis_detection\batch\Compliant\57.png
Compliant\58.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\58.png
Compliant\59.png,1,4,1,3,..\output\roi_axis_detection\batch\Compliant\59.png
Compliant\6.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\6.png
Compliant\60.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\60.png
Compliant\66.png,1,0,0,0,..\output\roi_axis_detection\batch\Compliant\66.png
Compliant\67.png,1,4,2,2,..\output\roi_axis_detection\batch\Compliant\67.png
Compliant\68.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\68.png
Compliant\69.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\69.png
Compliant\7.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\7.png
Compliant\70.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\70.png
Compliant\74.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\74.png
Compliant\75.png,1,5,1,4,..\output\roi_axis_detection\batch\Compliant\75.png
Compliant\76.png,1,3,0,3,..\output\roi_axis_detection\batch\Compliant\76.png
Compliant\77.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\77.png
Compliant\78.png,2,5,5,0,..\output\roi_axis_detection\batch\Compliant\78.png
Compliant\79.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\79.png
Compliant\8.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\8.png
Compliant\80.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\80.png
Compliant\81.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\81.png
Compliant\82.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\82.png
Compliant\83.png,1,2,1,1,..\output\roi_axis_detection\batch\Compliant\83.png
Compliant\84.png,1,3,2,1,..\output\roi_axis_detection\batch\Compliant\84.png
Compliant\85.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\85.png
Compliant\86.png,1,4,3,1,..\output\roi_axis_detection\batch\Compliant\86.png
Compliant\87.png,1,3,1,2,..\output\roi_axis_detection\batch\Compliant\87.png
Compliant\88.png,2,2,0,2,..\output\roi_axis_detection\batch\Compliant\88.png
Compliant\89.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\89.png
Compliant\9.png,1,3,1,2,..\output\roi_axis_detection\batch\Compliant\9.png
Compliant\90.png,2,0,0,0,..\output\roi_axis_detection\batch\Compliant\90.png
Compliant\91.png,1,4,3,1,..\output\roi_axis_detection\batch\Compliant\91.png
Compliant\92.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\92.png
Compliant\93.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\93.png
Compliant\94.png,2,0,0,0,..\output\roi_axis_detection\batch\Compliant\94.png
Compliant\95.png,1,4,2,2,..\output\roi_axis_detection\batch\Compliant\95.png
Compliant\96.png,0,0,0,0,..\output\roi_axis_detection\batch\Compliant\96.png
Compliant\97.png,1,3,2,1,..\output\roi_axis_detection\batch\Compliant\97.png
Compliant\98.png,1,1,0,1,..\output\roi_axis_detection\batch\Compliant\98.png
Compliant\99.png,2,4,2,2,..\output\roi_axis_detection\batch\Compliant\99.png
Not-Compliant\1.png,2,2,1,1,..\output\roi_axis_detection\batch\Not-Compliant\1.png
Not-Compliant\10.png,0,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\10.png
Not-Compliant\100.png,4,1,0,1,..\output\roi_axis_detection\batch\Not-Compliant\100.png
Not-Compliant\101.png,0,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\101.png
Not-Compliant\102.png,0,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\102.png
Not-Compliant\103.png,0,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\103.png
Not-Compliant\104.png,0,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\104.png
Not-Compliant\105.png,1,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\105.png
Not-Compliant\106.png,2,3,1,2,..\output\roi_axis_detection\batch\Not-Compliant\106.png
Not-Compliant\107.png,2,1,0,1,..\output\roi_axis_detection\batch\Not-Compliant\107.png
Not-Compliant\108.png,1,1,0,1,..\output\roi_axis_detection\batch\Not-Compliant\108.png
Not-Compliant\109.png,1,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\109.png
Not-Compliant\11.png,1,2,0,2,..\output\roi_axis_detection\batch\Not-Compliant\11.png
Not-Compliant\111.png,0,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\111.png
Not-Compliant\112.png,5,4,0,4,..\output\roi_axis_detection\batch\Not-Compliant\112.png
Not-Compliant\114.png,0,0,0,0,..\output\roi_axis_detection\batch\Not-Compliant\114.png
