image,axes_detected,left_axes,bottom_x_axes,output
Compliant\10.png,0,0,0,..\output\vlm_opencv\batch\Compliant\10.png
Compliant\100.png,11,6,5,..\output\vlm_opencv\batch\Compliant\100.png
Compliant\101.png,0,0,0,..\output\vlm_opencv\batch\Compliant\101.png
Compliant\102.png,13,8,5,..\output\vlm_opencv\batch\Compliant\102.png
Compliant\103.png,1,0,1,..\output\vlm_opencv\batch\Compliant\103.png
Compliant\104.png,1,0,1,..\output\vlm_opencv\batch\Compliant\104.png
Compliant\105.png,0,0,0,..\output\vlm_opencv\batch\Compliant\105.png
Compliant\106.png,2,1,1,..\output\vlm_opencv\batch\Compliant\106.png
Compliant\107.png,5,3,2,..\output\vlm_opencv\batch\Compliant\107.png
Compliant\108.png,4,1,3,..\output\vlm_opencv\batch\Compliant\108.png
Compliant\109.png,7,2,5,..\output\vlm_opencv\batch\Compliant\109.png
Compliant\11.png,1,1,0,..\output\vlm_opencv\batch\Compliant\11.png
Compliant\110.png,15,2,13,..\output\vlm_opencv\batch\Compliant\110.png
Compliant\111.png,5,4,1,..\output\vlm_opencv\batch\Compliant\111.png
Compliant\112.png,12,3,9,..\output\vlm_opencv\batch\Compliant\112.png
Compliant\12.png,0,0,0,..\output\vlm_opencv\batch\Compliant\12.png
Compliant\13.png,5,3,2,..\output\vlm_opencv\batch\Compliant\13.png
Compliant\14.png,7,3,4,..\output\vlm_opencv\batch\Compliant\14.png
Compliant\15.png,16,4,12,..\output\vlm_opencv\batch\Compliant\15.png
Compliant\16.png,7,1,6,..\output\vlm_opencv\batch\Compliant\16.png
Compliant\17.png,4,1,3,..\output\vlm_opencv\batch\Compliant\17.png
Compliant\18.png,3,0,3,..\output\vlm_opencv\batch\Compliant\18.png
Compliant\19.png,1,1,0,..\output\vlm_opencv\batch\Compliant\19.png
Compliant\2.png,45,17,28,..\output\vlm_opencv\batch\Compliant\2.png
Compliant\20.png,4,2,2,..\output\vlm_opencv\batch\Compliant\20.png
Compliant\21.png,5,2,3,..\output\vlm_opencv\batch\Compliant\21.png
Compliant\22.png,6,5,1,..\output\vlm_opencv\batch\Compliant\22.png
Compliant\23.png,5,0,5,..\output\vlm_opencv\batch\Compliant\23.png
Compliant\24.png,18,12,6,..\output\vlm_opencv\batch\Compliant\24.png
Compliant\25.png,2,0,2,..\output\vlm_opencv\batch\Compliant\25.png
Compliant\26.png,3,1,2,..\output\vlm_opencv\batch\Compliant\26.png
Compliant\27.png,4,4,0,..\output\vlm_opencv\batch\Compliant\27.png
Compliant\28.png,0,0,0,..\output\vlm_opencv\batch\Compliant\28.png
Compliant\29.png,4,4,0,..\output\vlm_opencv\batch\Compliant\29.png
Compliant\3.png,2,0,2,..\output\vlm_opencv\batch\Compliant\3.png
Compliant\30.png,1,0,1,..\output\vlm_opencv\batch\Compliant\30.png
Compliant\31.png,10,4,6,..\output\vlm_opencv\batch\Compliant\31.png
Compliant\34.png,23,15,8,..\output\vlm_opencv\batch\Compliant\34.png
Compliant\35.png,36,23,13,..\output\vlm_opencv\batch\Compliant\35.png
Compliant\36.png,26,11,15,..\output\vlm_opencv\batch\Compliant\36.png
Compliant\37.png,5,5,0,..\output\vlm_opencv\batch\Compliant\37.png
Compliant\38.png,9,2,7,..\output\vlm_opencv\batch\Compliant\38.png
Compliant\39.png,6,5,1,..\output\vlm_opencv\batch\Compliant\39.png
Compliant\4.png,14,9,5,..\output\vlm_opencv\batch\Compliant\4.png
Compliant\40.png,4,0,4,..\output\vlm_opencv\batch\Compliant\40.png
Compliant\41.png,3,1,2,..\output\vlm_opencv\batch\Compliant\41.png
Compliant\42.png,5,2,3,..\output\vlm_opencv\batch\Compliant\42.png
Compliant\44.png,15,9,6,..\output\vlm_opencv\batch\Compliant\44.png
Compliant\45.png,8,4,4,..\output\vlm_opencv\batch\Compliant\45.png
Compliant\49.png,22,14,8,..\output\vlm_opencv\batch\Compliant\49.png
Compliant\5.png,3,2,1,..\output\vlm_opencv\batch\Compliant\5.png
Compliant\51.png,40,2,38,..\output\vlm_opencv\batch\Compliant\51.png
